PLANNING_SELECTED,PRODUCT,BUDGET_GROUP,SALE_CHANNEL_GRP,CREATE_MONTH,FPD10_PJ,LOSS_RATE_PJ,LA in Bio
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA LG,01/12/2022,0.0953,0.3437,40.0
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA LG,01/01/2023,0.0962,0.3459,54.7
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA LG,01/02/2023,0.1064,0.3617,74.2
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA LG,01/03/2023,0.1100,0.3694,96.1
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA LG,01/04/2023,0.0847,0.3086,93.5
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA LG,01/05/2023,0.0721,0.2693,112.5
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA TR,01/12/2022,0.0085,0.0785,1.2
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA TR,01/01/2023,0.0648,0.2600,1.9
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA TR,01/02/2023,0.0617,0.2523,1.7
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA TR,01/03/2023,0.0597,0.2455,1.9
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA TR,01/04/2023,0.0331,0.1815,2.9
GOODBANK,PLNLG,UNIFIED NONLG,IH-TSA TR,01/05/2023,0.1477,0.4553,2.5
GOODBANK,PLNLG,UNIFIED NONLG,Unidentified,01/03/2023,0.0000,0.0000,0.0
GOODBANK,PLNLG,UNIFIED NONLG,Unidentified,01/04/2023,0.2284,0.7039,0.2
GOODBANK,PLNLG,UNIFIED NONLG,Unidentified,01/05/2023,0.0000,0.0000,0.8
GOODBANK,TW,TWL NON PROMO NEW BIKE HIGH DP,3P-DSA,01/04/2023,0.0000,0.0000,0.0
GOODBANK,TW,TWL NON PROMO NEW BIKE HIGH DP,3P-DSA,01/05/2023,0.0000,0.0000,0.0
GOODBANK,TW,TWL NON PROMO NEW BIKE HIGH DP,IH-POS,01/12/2022,0.0259,0.0816,4.3
GOODBANK,TW,TWL NON PROMO NEW BIKE HIGH DP,IH-POS,01/01/2023,0.0139,0.0514,34.5
GOODBANK,TW,TWL NON PROMO NEW BIKE HIGH DP,IH-POS,01/02/2023,0.0123,0.0490,18.1
GOODBANK,TW,TWL NON PROMO NEW BIKE HIGH DP,IH-POS,01/03/2023,0.0177,0.0570,13.2
GOODBANK,TW,TWL NON PROMO NEW BIKE HIGH DP,IH-POS,01/04/2023,0.0171,0.0561,14.8
GOODBANK,TW,TWL NON PROMO NEW BIKE HIGH DP,IH-POS,01/05/2023,0.0222,0.0721,11.5
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,3P-DSA,01/01/2023,0.0000,0.0000,0.2
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,3P-DSA,01/02/2023,0.0000,0.0000,0.0
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,3P-DSA,01/03/2023,0.0000,0.0000,0.0
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,3P-DSA,01/04/2023,0.0000,0.0000,0.0
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,3P-DSA,01/05/2023,,,0.0
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,IH-POS,01/12/2022,0.0236,0.0770,17.0
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,IH-POS,01/01/2023,0.0142,0.0518,61.1
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,IH-POS,01/02/2023,0.0209,0.0674,33.8
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,IH-POS,01/03/2023,0.0152,0.0533,26.4
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,IH-POS,01/04/2023,0.0211,0.0680,29.2
GOODBANK,TW,TWL NON PROMO NEW BIKE LOW DP,IH-POS,01/05/2023,0.0234,0.0762,21.8
GOODBANK,TW,TWL NON PROMO USED BIKE HIGH DP,IH-POS,01/12/2022,0.0000,0.0000,0.3
GOODBANK,TW,TWL NON PROMO USED BIKE HIGH DP,IH-POS,01/01/2023,0.0610,0.1238,0.8
GOODBANK,TW,TWL NON PROMO USED BIKE HIGH DP,IH-POS,01/02/2023,0.0532,0.1171,0.8
GOODBANK,TW,TWL NON PROMO USED BIKE HIGH DP,IH-POS,01/03/2023,0.0486,0.1133,0.8
GOODBANK,TW,TWL NON PROMO USED BIKE HIGH DP,IH-POS,01/04/2023,0.0374,0.0967,1.1
GOODBANK,TW,TWL NON PROMO USED BIKE HIGH DP,IH-POS,01/05/2023,0.0290,0.0863,0.7
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,3P-DSA,01/12/2022,0.0000,0.0000,0.0
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,3P-DSA,01/01/2023,0.0000,0.0000,0.0
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,3P-DSA,01/02/2023,0.0000,0.0000,0.0
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,3P-DSA,01/03/2023,0.0000,0.0000,0.1
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,3P-DSA,01/04/2023,0.0000,0.0000,0.1
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,3P-DSA,01/05/2023,0.0000,0.0000,0.0
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,IH-POS,01/12/2022,0.0060,0.0217,5.5
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,IH-POS,01/01/2023,0.0061,0.0222,49.5
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,IH-POS,01/02/2023,0.0071,0.0265,28.0
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,IH-POS,01/03/2023,0.0057,0.0207,24.8
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,IH-POS,01/04/2023,0.0032,0.0117,24.7
GOODBANK,TW,TWL PROMO NEW BIKE HIGH DP,IH-POS,01/05/2023,0.0039,0.0142,18.3
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,3P-DSA,01/02/2023,0.0000,0.0000,0.1
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,3P-DSA,01/03/2023,0.0000,0.0000,0.0
GOODBANK,TW,TWL PROMO NEW BIKE LOW DP,3P-DSA,01/05/2023,0.0000,0.0000,0.0
